"","Rk.","Sno","X","Name","FED","Rtg","Club.City","Pts.","TB1","TB2","TB3"
"1","1","13","","Abhinessh S ","IND","1779","TRY","8","0.5","51.5","55.5"
"2","2","2","AGM","Rathneesh R ","IND","2111","Kanchi","8","0.5","50.5","54.5"
"3","3","1","CM","Rohith Krishna S ","IND","2354","CHE","7.5","0","49.5","53"
"4","4","25","","Ayyappan P Santhana Prabu ","IND","1669","CHE","7.5","0","48","51.5"
"5","5","19","","Raghul Saro S ","IND","1735","TNJ","7.5","0","47","51"
"6","6","33","","Krishan A ","IND","1592","CHE","7.5","0","46","50"
"7","7","54","","Aakash G ","IND","1509","CBE","7.5","0","45.5","49.5"
"8","8","4","","Dinesh Kumar Jaganathan ","IND","1995","CHE","7","0","52","55.5"
"9","9","6","","Ayushh Ravikumar ","IND","1928","CHE","7","0","51","56"
"10","10","23","","Aswath S ","IND","1688","KKI","7","0","49.5","52.5"
"11","11","40","","Yukash Ram E ","IND","1565","TNVL","7","0","47.5","51.5"
"12","12","22","","Thiyagarajan Tamilselvi ","IND","1706","TNJ","7","0","47.5","51.5"
"13","13","9","","Gugan G ","IND","1818","SLM","7","0","46.5","51.5"
"14","14","7","","Avinash Ramesh ","IND","1925","CHE","6.5","0","53","57.5"
"15","15","5","","Rathina Sabapathi A ","IND","1964","Kanchi","6.5","0","51.5","56"
"16","16","14","","Srikrishnan P ","IND","1778","CHE","6.5","0","51","55.5"
"17","17","8","AGM","Vignesh B ","IND","1913","Kanchi","6.5","0","50","53.5"
"18","18","50","","Aravinth Shanmugam S ","IND","1520","MDU","6.5","0","49.5","54"
"19","19","18","","Dinesh Rajan M ","IND","1745","SVG","6.5","0","49.5","53.5"
"20","20","34","","Daakshin Arun ","IND","1591","CHE","6.5","0","49","52"
"21","21","37","","Roshan S ","IND","1586","ERO","6.5","0","48.5","52.5"
"22","22","24","","Abinandhan R ","IND","1681","CHE","6.5","0","48.5","52.5"
"23","23","17","","Ruban Sanjai M ","IND","1751","VNR","6.5","0","48.5","52"
"24","24","10","","Sanjay D G ","IND","1817","CHE","6.5","0","48","52.5"
"25","25","21","","Harsh Suresh ","IND","1716","CHE","6.5","0","48","51.5"
"26","26","29","AIM","Rohan Kailash B ","IND","1618","Kanchi","6.5","0","47","51.5"
"27","27","26","","Sivashankar M ","IND","1635","Tvlr","6.5","0","47","50.5"
"28","28","30","","Tamizh Selvan Ganesan ","IND","1611","Tvlr","6.5","0","46.5","50.5"
